REGION_NO,ADM2_EN,ADM3_EN,ADM3_CODE,TOTAL_EMPLOYED,AGRI_EMPLOYED,PERCENT_AGRI
14,ABRA,Bangued,PH140101000,1725.0,286.0,16.58
14,ABRA,Boliney,PH140102000,161.0,111.0,68.94
14,ABRA,Bucay,PH140103000,492.0,181.0,36.79
14,ABRA,Bucloc,PH140104000,104.0,52.0,50.0
14,ABRA,Daguioman,PH140105000,52.0,28.0,53.85
14,ABRA,Danglas,PH140106000,53.0,11.0,20.75
14,ABRA,Dolores,PH140107000,233.0,87.0,37.34
14,ABRA,La Paz,PH140108000,442.0,163.0,36.88
14,ABRA,Lacub,PH140109000,154.0,114.0,74.03
14,ABRA,Lagangilang,PH140110000,283.0,92.0,32.51
14,ABRA,Lagayan,PH140111000,152.0,81.0,53.29
14,ABRA,Langiden,PH140112000,82.0,48.0,58.54
14,ABRA,Licuan-Baay,PH140113000,113.0,68.0,60.18
14,ABRA,Luba,PH140114000,248.0,163.0,65.73
14,ABRA,Malibcong,PH140115000,76.0,50.0,65.79
14,ABRA,Manabo,PH140116000,255.0,94.0,36.86
14,ABRA,Peñarrubia,PH140117000,161.0,103.0,63.98
14,ABRA,Pidigan,PH140118000,370.0,159.0,42.97
14,ABRA,Pilar,PH140119000,346.0,220.0,63.58
14,ABRA,Sallapadan,PH140120000,97.0,52.0,53.61
14,ABRA,San Isidro,PH140121000,80.0,60.0,75.0
14,ABRA,San Juan,PH140122000,261.0,142.0,54.41
14,ABRA,San Quintin,PH140123000,216.0,116.0,53.7
14,ABRA,Tayum,PH140124000,398.0,170.0,42.71
14,ABRA,Tineg,PH140125000,31.0,16.0,51.61
14,ABRA,Tubo,PH140126000,157.0,115.0,73.25
14,ABRA,Villaviciosa,PH140127000,122.0,61.0,50.0
16,AGUSAN DEL NORTE,Buenavista,PH160201000,955.0,316.0,33.09
16,AGUSAN DEL NORTE,City of Butuan,PH160202000,6657.0,851.0,12.78
16,AGUSAN DEL NORTE,City of Cabadbaran,PH160203000,1442.0,251.0,17.41
16,AGUSAN DEL NORTE,Carmen,PH160204000,359.0,126.0,35.1
16,AGUSAN DEL NORTE,Jabonga,PH160205000,422.0,176.0,41.71
16,AGUSAN DEL NORTE,Kitcharao,PH160206000,278.0,58.0,20.86
16,AGUSAN DEL NORTE,Las Nieves,PH160207000,444.0,234.0,52.7
16,AGUSAN DEL NORTE,Magallanes,PH160208000,303.0,48.0,15.84
16,AGUSAN DEL NORTE,Nasipit,PH160209000,729.0,109.0,14.95
16,AGUSAN DEL NORTE,Santiago,PH160210000,272.0,59.0,21.69
16,AGUSAN DEL NORTE,Tubay,PH160211000,260.0,56.0,21.54
16,AGUSAN DEL NORTE,Remedios T. Romualdez,PH160212000,212.0,103.0,48.58
16,AGUSAN DEL SUR,City of Bayugan,PH160301000,1074.0,409.0,38.08
16,AGUSAN DEL SUR,Bunawan,PH160302000,501.0,222.0,44.31
16,AGUSAN DEL SUR,Esperanza,PH160303000,581.0,354.0,60.93
16,AGUSAN DEL SUR,La Paz,PH160304000,354.0,199.0,56.21
16,AGUSAN DEL SUR,Loreto,PH160305000,529.0,394.0,74.48
16,AGUSAN DEL SUR,Prosperidad,PH160306000,970.0,459.0,47.32
16,AGUSAN DEL SUR,Rosario,PH160307000,360.0,139.0,38.61
16,AGUSAN DEL SUR,San Francisco,PH160308000,914.0,195.0,21.33
