REGION_NO,ADM2_EN,ADM3_EN,ADM3_CODE,TOTAL_EMPLOYED,FOREST_EMPLOYED,PERCENT_FOREST
14,ABRA,Bangued,PH140101000,1725.0,4.0,0.23
14,ABRA,Boliney,PH140102000,161.0,0.0,0.0
14,ABRA,Bucay,PH140103000,492.0,3.0,0.61
14,ABRA,Bucloc,PH140104000,104.0,1.0,0.96
14,ABRA,Daguioman,PH140105000,52.0,1.0,1.92
14,ABRA,Danglas,PH140106000,53.0,0.0,0.0
14,ABRA,Dolores,PH140107000,233.0,0.0,0.0
14,ABRA,La Paz,PH140108000,442.0,5.0,1.13
14,ABRA,Lacub,PH140109000,154.0,0.0,0.0
14,ABRA,Lagangilang,PH140110000,283.0,0.0,0.0
14,ABRA,Lagayan,PH140111000,152.0,0.0,0.0
14,ABRA,Langiden,PH140112000,82.0,0.0,0.0
14,ABRA,Licuan-Baay,PH140113000,113.0,0.0,0.0
14,ABRA,Luba,PH140114000,248.0,0.0,0.0
14,ABRA,Malibcong,PH140115000,76.0,0.0,0.0
14,ABRA,Manabo,PH140116000,255.0,1.0,0.39
14,ABRA,Peñarrubia,PH140117000,161.0,0.0,0.0
14,ABRA,Pidigan,PH140118000,370.0,0.0,0.0
14,ABRA,Pilar,PH140119000,346.0,0.0,0.0
14,ABRA,Sallapadan,PH140120000,97.0,0.0,0.0
14,ABRA,San Isidro,PH140121000,80.0,0.0,0.0
14,ABRA,San Juan,PH140122000,261.0,1.0,0.38
14,ABRA,San Quintin,PH140123000,216.0,0.0,0.0
14,ABRA,Tayum,PH140124000,398.0,0.0,0.0
14,ABRA,Tineg,PH140125000,31.0,0.0,0.0
14,ABRA,Tubo,PH140126000,157.0,0.0,0.0
14,ABRA,Villaviciosa,PH140127000,122.0,0.0,0.0
16,AGUSAN DEL NORTE,Buenavista,PH160201000,955.0,11.0,1.15
16,AGUSAN DEL NORTE,City of Butuan,PH160202000,6657.0,67.0,1.01
16,AGUSAN DEL NORTE,City of Cabadbaran,PH160203000,1442.0,23.0,1.6
16,AGUSAN DEL NORTE,Carmen,PH160204000,359.0,1.0,0.28
16,AGUSAN DEL NORTE,Jabonga,PH160205000,422.0,15.0,3.55
16,AGUSAN DEL NORTE,Kitcharao,PH160206000,278.0,3.0,1.08
16,AGUSAN DEL NORTE,Las Nieves,PH160207000,444.0,8.0,1.8
16,AGUSAN DEL NORTE,Magallanes,PH160208000,303.0,3.0,0.99
16,AGUSAN DEL NORTE,Nasipit,PH160209000,729.0,6.0,0.82
16,AGUSAN DEL NORTE,Santiago,PH160210000,272.0,9.0,3.31
16,AGUSAN DEL NORTE,Tubay,PH160211000,260.0,2.0,0.77
16,AGUSAN DEL NORTE,Remedios T. Romualdez,PH160212000,212.0,5.0,2.36
16,AGUSAN DEL SUR,City of Bayugan,PH160301000,1074.0,19.0,1.77
16,AGUSAN DEL SUR,Bunawan,PH160302000,501.0,9.0,1.8
16,AGUSAN DEL SUR,Esperanza,PH160303000,581.0,9.0,1.55
16,AGUSAN DEL SUR,La Paz,PH160304000,354.0,14.0,3.95
16,AGUSAN DEL SUR,Loreto,PH160305000,529.0,13.0,2.46
16,AGUSAN DEL SUR,Prosperidad,PH160306000,970.0,25.0,2.58
16,AGUSAN DEL SUR,Rosario,PH160307000,360.0,6.0,1.67
16,AGUSAN DEL SUR,San Francisco,PH160308000,914.0,5.0,0.55
16,AGUSAN DEL SUR,San Luis,PH160309000,430.0,23.0,5.35
16,AGUSAN DEL SUR,Santa Josefa,PH160310000,349.0,1.0,0.29
16,AGUSAN DEL SUR,Talacogon,PH160311000,333.0,24.0,7.21
16,AGUSAN DEL SUR,Trento,PH160312000,700.0,23.0,3.29
16,AGUSAN DEL SUR,Veruela,PH160313000,462.0,2.0,0.43
16,AGUSAN DEL SUR,Sibagat,PH160314000,435.0,4.0,0.92
6,AKLAN,Altavas,PH060401000,327.0,6.0,1.83
6,AKLAN,Balete,PH060402000,136.0,1.0,0.74
6,AKLAN,Banga,PH060403000,325.0,3.0,0.92
6,AKLAN,Batan,PH060404000,225.0,2.0,0.89
6,AKLAN,Buruanga,PH060405000,136.0,4.0,2.94
6,AKLAN,Ibajay,PH060406000,368.0,7.0,1.9
6,AKLAN,Kalibo,PH060407000,1183.0,2.0,0.17
6,AKLAN,Lezo,PH060408000,61.0,0.0,0.0
6,AKLAN,Libacao,PH060409000,307.0,0.0,0.0
6,AKLAN,Madalag,PH060410000,189.0,4.0,2.12
6,AKLAN,Makato,PH060411000,214.0,0.0,0.0
6,AKLAN,Malay,PH060412000,781.0,1.0,0.13
6,AKLAN,Malinao,PH060413000,268.0,8.0,2.99
6,AKLAN,Nabas,PH060414000,432.0,18.0,4.17
6,AKLAN,New Washington,PH060415000,438.0,1.0,0.23
6,AKLAN,Numancia,PH060416000,178.0,0.0,0.0
6,AKLAN,Tangalan,PH060417000,180.0,5.0,2.78
5,ALBAY,Bacacay,PH050501000,310.0,7.0,2.26
5,ALBAY,Camalig,PH050502000,225.0,0.0,0.0
5,ALBAY,Daraga,PH050503000,652.0,0.0,0.0
5,ALBAY,Guinobatan,PH050504000,418.0,0.0,0.0
5,ALBAY,Jovellar,PH050505000,85.0,0.0,0.0
5,ALBAY,City of Legazpi,PH050506000,1388.0,1.0,0.07
5,ALBAY,Libon,PH050507000,391.0,0.0,0.0
5,ALBAY,City of Ligao,PH050508000,379.0,0.0,0.0
5,ALBAY,Malilipot,PH050509000,57.0,0.0,0.0
5,ALBAY,Malinao,PH050510000,188.0,0.0,0.0
5,ALBAY,Manito,PH050511000,160.0,0.0,0.0
5,ALBAY,Oas,PH050512000,240.0,0.0,0.0
5,ALBAY,Pio Duran,PH050513000,109.0,0.0,0.0
5,ALBAY,Polangui,PH050514000,314.0,0.0,0.0
5,ALBAY,Rapu-Rapu,PH050515000,72.0,0.0,0.0
5,ALBAY,Santo Domingo,PH050516000,112.0,0.0,0.0
5,ALBAY,City of Tabaco,PH050517000,608.0,0.0,0.0
5,ALBAY,Tiwi,PH050518000,450.0,0.0,0.0
6,ANTIQUE,Anini-Y,PH060601000,192.0,5.0,2.6
6,ANTIQUE,Barbaza,PH060602000,189.0,1.0,0.53
6,ANTIQUE,Belison,PH060603000,132.0,3.0,2.27
6,ANTIQUE,Bugasong,PH060604000,519.0,5.0,0.96
6,ANTIQUE,Caluya,PH060605000,7.0,0.0,0.0
6,ANTIQUE,Culasi,PH060606000,569.0,11.0,1.93
6,ANTIQUE,Tobias Fornier,PH060607000,427.0,4.0,0.94
6,ANTIQUE,Hamtic,PH060608000,536.0,7.0,1.31
6,ANTIQUE,Laua-An,PH060609000,340.0,2.0,0.59
6,ANTIQUE,Libertad,PH060610000,195.0,1.0,0.51
6,ANTIQUE,Pandan,PH060611000,410.0,5.0,1.22
6,ANTIQUE,Patnongon,PH060612000,376.0,10.0,2.66
6,ANTIQUE,San Jose,PH060613000,965.0,6.0,0.62
6,ANTIQUE,San Remigio,PH060614000,330.0,3.0,0.91
6,ANTIQUE,Sebaste,PH060615000,241.0,10.0,4.15
6,ANTIQUE,Sibalom,PH060616000,662.0,4.0,0.6
6,ANTIQUE,Tibiao,PH060617000,200.0,7.0,3.5
6,ANTIQUE,Valderrama,PH060618000,230.0,5.0,2.17
15,BASILAN,City of Lamitan,PH150702000,1349.0,6.0,0.44
15,BASILAN,Lantawan,PH150703000,672.0,11.0,1.64
15,BASILAN,Maluso,PH150704000,818.0,5.0,0.61
15,BASILAN,Sumisip,PH150705000,942.0,3.0,0.32
15,BASILAN,Tipo-Tipo,PH150706000,364.0,3.0,0.82
15,BASILAN,Tuburan,PH150707000,292.0,3.0,1.03
15,BASILAN,Akbar,PH150708000,113.0,0.0,0.0
15,BASILAN,Al-Barka,PH150709000,295.0,0.0,0.0
15,BASILAN,Hadji Mohammad Ajul,PH150710000,193.0,4.0,2.07
15,BASILAN,Ungkaya Pukan,PH150711000,269.0,0.0,0.0
15,BASILAN,Hadji Muhtamad,PH150712000,224.0,0.0,0.0
15,BASILAN,Tabuan-Lasa,PH150713000,280.0,0.0,0.0
3,BATAAN,Abucay,PH030801000,151.0,0.0,0.0
3,BATAAN,Bagac,PH030802000,268.0,0.0,0.0
3,BATAAN,City of Balanga,PH030803000,902.0,0.0,0.0
3,BATAAN,Dinalupihan,PH030804000,607.0,0.0,0.0
3,BATAAN,Hermosa,PH030805000,546.0,0.0,0.0
3,BATAAN,Limay,PH030806000,509.0,2.0,0.39
3,BATAAN,Mariveles,PH030807000,1161.0,2.0,0.17
3,BATAAN,Morong,PH030808000,342.0,0.0,0.0
3,BATAAN,Orani,PH030809000,391.0,0.0,0.0
3,BATAAN,Orion,PH030810000,238.0,0.0,0.0
3,BATAAN,Pilar,PH030811000,263.0,0.0,0.0
3,BATAAN,Samal,PH030812000,182.0,4.0,2.2
2,BATANES,Basco,PH020901000,1684.0,0.0,0.0
2,BATANES,Itbayat,PH020902000,456.0,0.0,0.0
2,BATANES,Ivana,PH020903000,218.0,0.0,0.0
2,BATANES,Mahatao,PH020904000,239.0,0.0,0.0
2,BATANES,Sabtang,PH020905000,332.0,0.0,0.0
2,BATANES,Uyugan,PH020906000,218.0,0.0,0.0
4,BATANGAS,Agoncillo,PH041001000,58.0,0.0,0.0
4,BATANGAS,Alitagtag,PH041002000,22.0,0.0,0.0
4,BATANGAS,Balayan,PH041003000,246.0,0.0,0.0
4,BATANGAS,Balete,PH041004000,72.0,0.0,0.0
4,BATANGAS,Batangas City,PH041005000,909.0,0.0,0.0
4,BATANGAS,Bauan,PH041006000,242.0,0.0,0.0
4,BATANGAS,City of Calaca,PH041007000,110.0,0.0,0.0
4,BATANGAS,Calatagan,PH041008000,182.0,0.0,0.0
4,BATANGAS,Cuenca,PH041009000,61.0,0.0,0.0
4,BATANGAS,Ibaan,PH041010000,90.0,0.0,0.0
4,BATANGAS,Laurel,PH041011000,77.0,0.0,0.0
4,BATANGAS,Lemery,PH041012000,344.0,1.0,0.29
4,BATANGAS,Lian,PH041013000,187.0,0.0,0.0
4,BATANGAS,City of Lipa,PH041014000,1400.0,1.0,0.07
4,BATANGAS,Lobo,PH041015000,30.0,0.0,0.0
4,BATANGAS,Mabini,PH041016000,44.0,1.0,2.27
4,BATANGAS,Malvar,PH041017000,178.0,0.0,0.0
4,BATANGAS,Mataasnakahoy,PH041018000,36.0,0.0,0.0
4,BATANGAS,Nasugbu,PH041019000,348.0,0.0,0.0
4,BATANGAS,Padre Garcia,PH041020000,130.0,0.0,0.0
4,BATANGAS,Rosario,PH041021000,242.0,1.0,0.41
4,BATANGAS,San Jose,PH041022000,162.0,0.0,0.0
4,BATANGAS,San Juan,PH041023000,320.0,0.0,0.0
4,BATANGAS,San Luis,PH041024000,51.0,0.0,0.0
4,BATANGAS,San Nicolas,PH041025000,64.0,0.0,0.0
4,BATANGAS,San Pascual,PH041026000,90.0,0.0,0.0
4,BATANGAS,Santa Teresita,PH041027000,23.0,0.0,0.0
4,BATANGAS,City of Sto. Tomas,PH041028000,532.0,0.0,0.0
4,BATANGAS,Taal,PH041029000,136.0,0.0,0.0
5,BATANGAS,Talisay,PH041030000,21.0,0.0,0.0
4,BATANGAS,City of Tanauan,PH041031000,257.0,0.0,0.0
4,BATANGAS,Taysan,PH041032000,9.0,0.0,0.0
4,BATANGAS,Tuy,PH041034000,90.0,0.0,0.0
14,BENGUET,Atok,PH141101000,419.0,0.0,0.0
14,BENGUET,City of Baguio,PH141102000,5686.0,1.0,0.02
14,BENGUET,Bakun,PH141103000,126.0,0.0,0.0
14,BENGUET,Bokod,PH141104000,101.0,0.0,0.0
14,BENGUET,Buguias,PH141105000,952.0,0.0,0.0
14,BENGUET,Itogon,PH141106000,610.0,1.0,0.16
14,BENGUET,Kabayan,PH141107000,320.0,1.0,0.31
14,BENGUET,Kapangan,PH141108000,168.0,0.0,0.0
14,BENGUET,Kibungan,PH141109000,225.0,0.0,0.0
14,BENGUET,La Trinidad,PH141110000,1500.0,1.0,0.07
14,BENGUET,Mankayan,PH141111000,470.0,0.0,0.0
14,BENGUET,Sablan,PH141112000,130.0,0.0,0.0
14,BENGUET,Tuba,PH141113000,526.0,1.0,0.19
14,BENGUET,Tublay,PH141114000,283.0,0.0,0.0
7,BOHOL,Alburquerque,PH071201000,28.0,0.0,0.0
7,BOHOL,Alicia,PH071202000,92.0,2.0,2.17
7,BOHOL,Anda,PH071203000,24.0,4.0,16.67
7,BOHOL,Antequera,PH071204000,90.0,1.0,1.11
7,BOHOL,Baclayon,PH071205000,51.0,0.0,0.0
7,BOHOL,Balilihan,PH071206000,79.0,4.0,5.06
7,BOHOL,Batuan,PH071207000,62.0,1.0,1.61
7,BOHOL,Bilar,PH071208000,49.0,2.0,4.08
7,BOHOL,Buenavista,PH071209000,52.0,2.0,3.85
7,BOHOL,Calape,PH071210000,87.0,3.0,3.45
7,BOHOL,Candijay,PH071211000,133.0,1.0,0.75
7,BOHOL,Carmen,PH071212000,340.0,2.0,0.59
7,BOHOL,Catigbian,PH071213000,5.0,1.0,20.0
7,BOHOL,Clarin,PH071214000,84.0,3.0,3.57
7,BOHOL,Corella,PH071215000,86.0,0.0,0.0
7,BOHOL,Cortes,PH071216000,74.0,1.0,1.35
7,BOHOL,Dagohoy,PH071217000,24.0,2.0,8.33
7,BOHOL,Danao,PH071218000,100.0,1.0,1.0
7,BOHOL,Dauis,PH071219000,151.0,0.0,0.0
7,BOHOL,Dimiao,PH071220000,68.0,2.0,2.94
7,BOHOL,Duero,PH071221000,65.0,0.0,0.0
7,BOHOL,Garcia Hernandez,PH071222000,232.0,1.0,0.43
7,BOHOL,Guindulman,PH071223000,114.0,0.0,0.0
7,BOHOL,Inabanga,PH071224000,330.0,15.0,4.55
7,BOHOL,Jagna,PH071225000,120.0,0.0,0.0
7,BOHOL,Getafe,PH071226000,122.0,0.0,0.0
7,BOHOL,Lila,PH071227000,134.0,8.0,5.97
7,BOHOL,Loay,PH071228000,62.0,0.0,0.0
7,BOHOL,Loboc,PH071229000,71.0,0.0,0.0
7,BOHOL,Loon,PH071230000,150.0,3.0,2.0
